         E      Sigma
1.000000e-001 1.912044e+016
1.099900e-001 1.914411e+016
1.199800e-001 1.916783e+016
1.299700e-001 1.919159e+016
1.399600e-001 1.921539e+016
1.499500e-001 1.923924e+016
1.599400e-001 1.926313e+016
1.699300e-001 1.928706e+016
1.799200e-001 1.931104e+016
1.899100e-001 1.933506e+016
1.999000e-001 1.935912e+016
2.098900e-001 1.938322e+016
2.198800e-001 1.940737e+016
2.298700e-001 1.943157e+016
2.398600e-001 1.945580e+016
2.498500e-001 1.948009e+016
2.598400e-001 1.950441e+016
2.698300e-001 1.952878e+016
2.798200e-001 1.955319e+016
2.898100e-001 1.957765e+016
2.998000e-001 1.960216e+016
3.097900e-001 1.962670e+016
3.197800e-001 1.965129e+016
3.297700e-001 1.967593e+016
3.397600e-001 1.970061e+016
3.497500e-001 1.972534e+016
3.597400e-001 1.975011e+016
3.697300e-001 1.977493e+016
3.797200e-001 1.979979e+016
3.897100e-001 1.982470e+016
3.997000e-001 1.984965e+016
4.096900e-001 1.987465e+016
4.196800e-001 1.989969e+016
4.296700e-001 1.992478e+016
4.396600e-001 1.994992e+016
4.496500e-001 1.997510e+016
4.596400e-001 2.000033e+016
4.696300e-001 2.002561e+016
4.796200e-001 2.005093e+016
4.896100e-001 2.007630e+016
4.996000e-001 2.010171e+016
5.095900e-001 2.012717e+016
5.195800e-001 2.015268e+016
5.295700e-001 2.017823e+016
5.395600e-001 2.020384e+016
5.495500e-001 2.022948e+016
5.595400e-001 2.025518e+016
5.695300e-001 2.028092e+016
5.795200e-001 2.030672e+016
5.895100e-001 2.033255e+016
5.995000e-001 2.035844e+016
6.094900e-001 2.038437e+016
6.194800e-001 2.041036e+016
6.294700e-001 2.043639e+016
6.394600e-001 2.046247e+016
6.494500e-001 2.048859e+016
6.594400e-001 2.051477e+016
6.694300e-001 2.054099e+016
6.794200e-001 2.056726e+016
6.894100e-001 2.059358e+016
6.994000e-001 2.061995e+016
7.093900e-001 2.064637e+016
7.193800e-001 2.067284e+016
7.293700e-001 2.069936e+016
7.393600e-001 2.072592e+016
7.493500e-001 2.075254e+016
7.593400e-001 2.077920e+016
7.693300e-001 2.080592e+016
7.793200e-001 2.083268e+016
7.893100e-001 2.085950e+016
7.993000e-001 2.088636e+016
8.092900e-001 2.091327e+016
8.192800e-001 2.094024e+016
8.292700e-001 2.096725e+016
8.392600e-001 2.099432e+016
8.492500e-001 2.102144e+016
8.592400e-001 2.104860e+016
8.692300e-001 2.107582e+016
8.792200e-001 2.110309e+016
8.892100e-001 2.113041e+016
8.992000e-001 2.115778e+016
9.091900e-001 2.118520e+016
9.191800e-001 2.121268e+016
9.291700e-001 2.124020e+016
9.391600e-001 2.126778e+016
9.491500e-001 2.129541e+016
9.591400e-001 2.132309e+016
9.691300e-001 2.135082e+016
9.791200e-001 2.137861e+016
9.891100e-001 2.140644e+016
9.991000e-001 2.143433e+016
1.009090e+000 2.146227e+016
1.019080e+000 2.149027e+016
1.029070e+000 2.151832e+016
1.039060e+000 2.154642e+016
1.049050e+000 2.157457e+016
1.059040e+000 2.160278e+016
1.069030e+000 2.163104e+016
1.079020e+000 2.165935e+016
1.089010e+000 2.168772e+016
1.099000e+000 2.171614e+016
1.108990e+000 2.174462e+016
1.118980e+000 2.177314e+016
1.128970e+000 2.180173e+016
1.138960e+000 2.183036e+016
1.148950e+000 2.185906e+016
1.158940e+000 2.188780e+016
1.168930e+000 2.191660e+016
1.178920e+000 2.194546e+016
1.188910e+000 2.197437e+016
1.198900e+000 2.200333e+016
1.208890e+000 2.203235e+016
1.218880e+000 2.206143e+016
1.228870e+000 2.209056e+016
1.238860e+000 2.211974e+016
1.248850e+000 2.214899e+016
1.258840e+000 2.217828e+016
1.268830e+000 2.220764e+016
1.278820e+000 2.223705e+016
1.288810e+000 2.226651e+016
1.298800e+000 2.229604e+016
1.308790e+000 2.232562e+016
1.318780e+000 2.235525e+016
1.328770e+000 2.238494e+016
1.338760e+000 2.241469e+016
1.348750e+000 2.244450e+016
1.358740e+000 2.247436e+016
1.368730e+000 2.250428e+016
1.378720e+000 2.253426e+016
1.388710e+000 2.256430e+016
1.398700e+000 2.259439e+016
1.408690e+000 2.262454e+016
1.418680e+000 2.265475e+016
1.428670e+000 2.268502e+016
1.438660e+000 2.271534e+016
1.448650e+000 2.274573e+016
1.458640e+000 2.277617e+016
1.468630e+000 2.280667e+016
1.478620e+000 2.283723e+016
1.488610e+000 2.286785e+016
1.498600e+000 2.289853e+016
1.508590e+000 2.292927e+016
1.518580e+000 2.296006e+016
1.528570e+000 2.299092e+016
1.538560e+000 2.302184e+016
1.548550e+000 2.305281e+016
1.558540e+000 2.308385e+016
1.568530e+000 2.311494e+016
1.578520e+000 2.314610e+016
1.588510e+000 2.317732e+016
1.598500e+000 2.320859e+016
1.608490e+000 2.323993e+016
1.618480e+000 2.327133e+016
1.628470e+000 2.330279e+016
1.638460e+000 2.333431e+016
1.648450e+000 2.336590e+016
1.658440e+000 2.339754e+016
1.668430e+000 2.342925e+016
1.678420e+000 2.346101e+016
1.688410e+000 2.349284e+016
1.698400e+000 2.352473e+016
1.708390e+000 2.355669e+016
1.718380e+000 2.358870e+016
1.728370e+000 2.362078e+016
1.738360e+000 2.365293e+016
1.748350e+000 2.368513e+016
1.758340e+000 2.371740e+016
1.768330e+000 2.374973e+016
1.778320e+000 2.378212e+016
1.788310e+000 2.381458e+016
1.798300e+000 2.384710e+016
1.808290e+000 2.387968e+016
1.818280e+000 2.391233e+016
1.828270e+000 2.394504e+016
1.838260e+000 2.397782e+016
1.848250e+000 2.401066e+016
